25947: (0, 0) (2499698580, -1) (0, 0) 
25986: (276426935, 1) (0, 0) (0, 0) 
26041: (0, 0) (4034670547, 1) (0, 0) 
26142: (0, 0) (0, 0) (849381924, -1) 
26274: (1099477073, 3) (0, 0) (0, 0) 
26287: (0, 0) (0, 0) (1597633493, -1) 
26370: (0, 0) (1925277908, 1) (0, 0) 
26406: (278234843, 2) (0, 0) (0, 0) 
26425: (757507188, -1) (0, 0) (0, 0) 
26588: (2446653011, 2) (0, 0) (0, 0) 
26662: (3354329798, 1) (0, 0) (0, 0) 
26773: (0, 0) (3517384297, 4) (0, 0) 
26809: (0, 0) (0, 0) (457176645, -1) 
26873: (3998204634, -2) (0, 0) (0, 0) 
26907: (1348736020, -2) (0, 0) (0, 0) 
26913: (0, 0) (0, 0) (4182998740, 1) 
26994: (0, 0) (1323342854, 1) (0, 0) 
27135: (0, 0) (0, 0) (1195419597, -1) 
27197: (0, 0) (2409033851, -1) (0, 0) 
27316: (0, 0) (364778539, -1) (0, 0) 
27353: (0, 0) (1992529449, -4) (0, 0) 
27441: (126346098, -1) (0, 0) (0, 0) 
27544: (1177265268, 1) (0, 0) (0, 0) 
27555: (0, 0) (951630224, 1) (0, 0) 
27597: (0, 0) (0, 0) (1496189954, 2) 
27655: (4207386162, -1) (0, 0) (0, 0) 
27679: (0, 0) (1016636622, -1) (0, 0) 
27858: (2127260105, 1) (0, 0) (0, 0) 
27870: (0, 0) (0, 0) (4054136615, -1) 
27879: (0, 0) (0, 0) (3796208723, 2) 
27933: (1442152577, -1) (0, 0) (0, 0) 
27945: (555018765, -1) (0, 0) (0, 0) 
28020: (3953543875, 1) (0, 0) (0, 0) 
28030: (0, 0) (0, 0) (2021078120, -1) 
28082: (0, 0) (2471883223, -3) (0, 0) 
28172: (0, 0) (1103697733, -1) (0, 0) 
28192: (714771811, 1) (0, 0) (0, 0) 
28224: (0, 0) (0, 0) (2937244044, 1) 
28254: (0, 0) (1811657911, -1) (0, 0) 
28282: (0, 0) (2619542898, -1) (0, 0) 
28436: (0, 0) (0, 0) (1081308795, -1) 
28470: (0, 0) (3119993203, -1) (0, 0) 
28491: (0, 0) (286380900, -1) (0, 0) 
28624: (0, 0) (2251224135, -4) (0, 0) 
28749: (2962174317, -1) (0, 0) (0, 0) 
28787: (3678419217, -1) (0, 0) (0, 0) 
28918: (0, 0) (0, 0) (440254623, -2) 
28936: (2447789675, 1) (0, 0) (0, 0) 
28964: (0, 0) (0, 0) (2895666991, 1) 
28990: (0, 0) (0, 0) (1608963276, -1) 
29070: (0, 0) (0, 0) (454359218, -1) 
29081: (0, 0) (3050650404, -2) (0, 0) 
29091: (0, 0) (1726438119, -2) (0, 0) 
29242: (790775832, 2) (0, 0) (0, 0) 
29373: (0, 0) (0, 0) (800461550, 2) 
29436: (1816982392, 1) (0, 0) (0, 0) 
29531: (1048094841, -2) (0, 0) (0, 0) 
29542: (450898180, 2) (0, 0) (0, 0) 
29562: (0, 0) (0, 0) (2476298322, 6) 
